模拟轮数,玩家1,玩家2,玩家3,玩家4,玩家5,玩家6,玩家7,玩家8,玩家9
116,500000,500000,4282,500000,500000,500000,8998,500000,500000
117,500000,500000,535,500000,500000,500000,3632,500000,30
118,500000,500000,785,500000,500000,500000,1307,11,500000
119,500000,500000,1,500000,500000,500000,3086,500000,500000
120,500000,500000,9824,500000,500000,500000,468,500000,500000
121,500000,500000,67,500000,500000,500000,582,11,500000
122,500000,500000,55,500000,500000,500000,3472,500000,500000
123,500000,500000,11,500000,500000,500000,939,500000,500000
124,500000,9744,500000,16334,500000,500000,64,1394,25
125,500000,500000,979,500000,500000,500000,2303,500000,500000
126,500000,500000,1154,500000,500000,500000,7220,500000,500000
127,500000,500000,216,500000,500000,500000,22,500000,500000
128,1570,6834,500000,2040,500000,500000,2347,500000,7362
129,500000,500000,130,500000,500000,500000,484,500000,500000
130,500000,500000,191,50,500000,500000,678,500000,113
131,500000,500000,553,256,500000,500000,1,500000,500000
132,3358,500000,12043,8,500000,500000,132,463,83
133,500000,500000,1,500000,500000,500000,424,500000,500000
134,500000,500000,2,500000,500000,500000,167,500000,500000
135,500000,500000,494,7,500000,500000,323,6,500000
136,268,500000,592,500000,500000,500000,259,500000,500000
137,500000,500000,87,500000,500000,500000,741,500000,500000
138,500000,2245,118156,996,500000,500000,1583,1249,9
139,500000,500000,33,500000,500000,500000,2597,500000,500000
140,500000,500000,7,500000,500000,500000,688,500000,500000
141,500000,500000,19,500000,500000,500000,2949,500000,500000
142,500000,500000,5274,500000,500000,500000,25,500000,500000
143,500000,500000,148662,447,500000,500000,655,500000,2392
144,82826,500000,500000,341,500000,500000,459,500000,500000
145,500000,500000,16535,500000,500000,500000,3514,500000,94
146,500000,500000,1911,500000,500000,500000,401,500000,500000
147,500000,500000,723,500000,500000,500000,3391,500000,500000
148,500000,500000,41387,103,500000,500000,32,500000,500000
149,500000,500000,2516,500000,500000,500000,581,40,500000
150,500000,500000,53,500000,500000,500000,934,500000,500000
151,500000,500000,29,500000,500000,500000,3546,500000,500000
152,500000,500000,349,500000,500000,500000,644,500000,500000
153,500000,500000,75614,32,500000,500000,21,926,500000
154,500000,500000,67,500000,500000,500000,1033,500000,500000
155,500000,500000,299,500000,500000,500000,21,500000,500000
156,500000,500000,40,500000,500000,500000,2434,500000,500000
157,500000,500000,15,500000,500000,500000,1071,500000,500000
158,500000,500000,6633,500000,500000,500000,218,59,500000
159,500000,6369,500000,500000,500000,500000,326,257,56503
160,8,500000,164,500000,500000,500000,533,500000,500000
161,500000,500000,5273,695,500000,500000,23,500000,90
162,500000,500000,64,500000,500000,500000,23,500000,500000
163,500000,500000,41,500000,500000,500000,411,500000,500000
164,500000,500000,17,500000,500000,500000,4224,500000,500000
165,500000,500000,353,500000,500000,500000,4660,500000,500000
166,500000,500000,204,17,500000,500000,516,500000,500000
167,500000,500000,813,500000,500000,500000,625,500000,500000
168,500000,500000,95,500000,500000,500000,725,500000,500000
169,500000,500000,29,500000,500000,500000,549,500000,500000
170,500000,500000,23,500000,500000,500000,462,500000,500000
171,500000,500000,6963,973,500000,500000,1675,500000,66
172,500000,500000,2630,500000,500000,500000,574,500000,500000
173,500000,500000,14,500000,500000,500000,4389,500000,500000
174,17,500000,274568,1636,500000,500000,1751,1956,500000
175,500000,500000,79,53,500000,500000,237,500000,500000
176,500000,500000,779,101,500000,500000,240,500000,500000
177,500000,500000,35,500000,500000,500000,2073,500000,500000
178,500000,500000,449,38,500000,500000,391,500000,500000
179,500000,500000,500000,5853,500000,500000,1509,39,500000
180,500000,500000,20688,2257,500000,500000,2,500000,14
181,2,500000,5084,4572,500000,500000,1308,500000,500000
182,500000,500000,30,500000,500000,500000,5394,500000,500000
183,500000,500000,36,500000,500000,500000,793,500000,500000
184,500000,500000,3,500000,500000,500000,1055,500000,500000
185,500000,500000,2,500000,500000,500000,756,500000,500000
186,5,500000,129990,1715,500000,500000,127,34,500000
187,500000,500000,142,500000,500000,500000,3195,500000,500000
188,500000,500000,841,500000,500000,500000,488,500000,500000
189,500000,500000,3255,2438,500000,500000,1784,500000,366
190,500000,500000,18,500000,500000,500000,2514,500000,500000
191,500000,500000,156,500000,500000,500000,2320,500000,500000
192,500000,500000,750,110,500000,500000,299,500000,500000
193,500000,500000,5562,11,500000,500000,158,9,500000
194,500000,500000,29,500000,500000,500000,919,500000,500000
195,2177,218832,500000,23216,500000,500000,292,500000,500000
196,11,500000,1101,500000,500000,500000,2972,500000,500000
197,500000,365,9454,500000,500000,500000,109,41,385
198,500000,500000,11458,500000,500000,500000,652,500000,500000
199,500000,500000,943,500000,500000,500000,205,52,500000
200,500000,500000,500000,61,500000,500000,535,5527,500000
